,2,,23/09/2006,,Rotherham Graded Meet                             ,,,,,Sheffield                                       ,,,3,,00:32.45,,,
,3,,18/07/2004,,Rotherham Metro A&B SC Meet                     ,,,,,Sheffield                                       ,,,0,,00:32.66,,,
,4,,22/07/2006,,Rotherham Metro A&B Meet                          ,,,,,Sheffield                                       ,,,3,,00:33.18,,,
,Male 100 Freestyle,,,,,,,,,,,,,,,,,
,1,,23/07/2006,,Rotherham Metro A&B Meet                          ,,,,,Sheffield                                       ,,,3,,01:11.62,,,
,2,,23/09/2006,,Rotherham Graded Meet                             ,,,,,Sheffield                                       ,,,3,,01:12.99,,,
,Male 50 Breaststroke,,,,,,,,,,,,,,,,,
,1,,17/07/2005,,Rotherham Metro Meet                              ,,,,,Metro                                            ,,,0,,00:35.72,,,
,2,,23/07/2006,,Rotherham Metro A&B Meet                          ,,,,,Sheffield                                       ,,,3,,00:37.50,,,
,3,,23/09/2006,,Rotherham Graded Meet                             ,,,,,Sheffield                                       ,,,3,,00:38.21,,,
,4,,18/07/2004,,Rotherham Metro A&B SC Meet                     ,,,,,Sheffield                                       ,,,0,,00:38.66,,,
,5,,03/04/2004,,Yorkshire 50m Sprint Meet                         ,,,,,Sheffield                                       ,,,0,,00:38.74,,,
,Male 100 Breaststroke,,,,,,,,,,,,,,,,,
,1,,16/07/2005,,Rotherham Metro Meet                              ,,,,,Metro                                            ,,,0,,01:22.54,,,
,2,,23/09/2006,,Rotherham Graded Meet                             ,,,,,Sheffield                                       ,,,3,,01:24.60,,,
,3,,22/07/2006,,Rotherham Metro A&B Meet                          ,,,,,Sheffield                                       ,,,3,,01:24.86,,,
,4,,18/07/2004,,Rotherham Metro A&B SC Meet                     ,,,,,Sheffield                                       ,,,0,,01:26.04,,,
,Male 200 Breaststroke,,,,,,,,,,,,,,,,,
,1,,17/07/2005,,Rotherham Metro Meet                              ,,,,,Metro                                            ,,,0,,02:58.32,,,
,2,,23/07/2006,,Rotherham Metro A&B Meet                          ,,,,,Sheffield                                       ,,,3,,03:08.55,,,
,Male 50 Backstroke,,,,,,,,,,,,,,,,,
,1,,18/07/2004,,Rotherham Metro A&B SC Meet                     ,,,,,Sheffield                                       ,,,0,,00:40.36,,,
SPORTSYSTEMS British Swimming Club Rankings Rev 5.2,,,,,,,,,,,,,,,,,,
23/08/2014 11:45:36,,,,,,,,,,,,,,,Page,6,/,130
,,,,,,,,,Male Open Short Course,,,,,,,,,
,,,,,,,,,All Time Best - Age At 31st December,,,,,,,,,
,,,Date,,,Meet,,,,,Venue,,Level,,Time,,,
Fintan Bateson                                    ,,,,,,10/05/2000,,Sheffield C,,,1169051,,,,,,,
,Male 50 Freestyle,,,,,,,,,,,,,,,,,
,1,,21/06/2014,,Scarborough SC A & B Graded Meet             ,,,,,Scarborough                                ,,,3,,00:32.52,,,
,Male 50 Breaststroke,,,,,,,,,,,,,,,,,
,1,,21/06/2014,,Scarborough SC A & B Graded Meet             ,,,,,Scarborough                                ,,,3,,00:43.56,,,
,2,,27/10/2013,,South Axholme Sharks Halloween Open        ,,,,,Beverley                                       ,,,3,,00:45.09,,,
,Male 100 Breaststroke,,,,,,,,,,,,,,,,,
,1,,22/06/2014,,Scarborough SC A & B Graded Meet             ,,,,,Scarborough                                ,,,3,,01:32.55,,,
,Male 50 Backstroke,,,,,,,,,,,,,,,,,
,1,,22/06/2014,,Scarborough SC A & B Graded Meet             ,,,,,Scarborough                                ,,,3,,00:41.79,,,
SPORTSYSTEMS British Swimming Club Rankings Rev 5.2,,,,,,,,,,,,,,,,,,
23/08/2014 11:45:36,,,,,,,,,,,,,,,Page,7,/,130
,,,,,,,,,Male Open Short Course,,,,,,,,,
,,,,,,,,,All Time Best - Age At 31st December,,,,,,,,,
,,,Date,,,Meet,,,,,Venue,,Level,,Time,,,
William Beaumont                                  ,,,,,,11/07/1998,,Sheffield C,,,489628,,,,,,,
,Male 50 Freestyle,,,,,,,,,,,,,,,,,
,1,,12/12/2009,,Boro of Barnsley Xmas Meet                        ,,,,,Sheffield                                       ,,,3,,00:32.67,,,
,2,,18/07/2009,,Rotherham Metro A/B Meet                          ,,,,,Ponds Forge                                ,,,3,,00:33.51,,,
,3,,19/09/2009,,Rotherham Metro A/B L3 Mt                         ,,,,,Sheffield                                       ,,,3,,00:33.89,,,
,4,,11/10/2008,,Yorkshire Winter Champs                           ,,,,,Sheffield                                       ,,,1,,00:35.04,,,
,5,,20/09/2008,,Rotherham Metro A/B Meet                          ,,,,,Ponds Forge                                ,,,3,,00:35.86,,,
,6,,15/03/2008,,Yorkshire County Champs                           ,,,,,Leeds                                           ,,,2,,00:37.66,,,
,7,,13/10/2007,,Yorkshire Winter Age Grp                          ,,,,,Sheffield                                       ,,,1,,00:41.18,,,
,Male 100 Freestyle,,,,,,,,,,,,,,,,,
,1,,11/10/2009,,Yorkshire Winter Meet                             ,,,,,Sheffield                                       ,,,2,,01:11.37,,,
,2,,19/09/2009,,Rotherham Metro A/B L3 Mt                         ,,,,,Sheffield                                       ,,,3,,01:16.89,,,
,3,,20/09/2008,,Rotherham Metro A/B Meet                          ,,,,,Ponds Forge                                ,,,3,,01:22.66,,,
,4,,22/09/2007,,Rotherham Metro SC Meet                           ,,,,,Sheffield                                       ,,,3,,01:33.02,,,
,Male 200 Freestyle,,,,,,,,,,,,,,,,,
,1,,18/07/2009,,Rotherham Metro A/B Meet                          ,,,,,Ponds Forge                                ,,,3,,02:42.11,,,
,2,,21/07/2007,,Rotherham Graded Meet                             ,,,,,Sheffield                                       ,,,3,,03:21.40,,,
,Male 50 Breaststroke,,,,,,,,,,,,,,,,,
,1,,12/12/2009,,Boro of Barnsley Xmas Meet                        ,,,,,Sheffield                                       ,,,3,,00:48.46,,,
,Male 50 Butterfly,,,,,,,,,,,,,,,,,
,1,,12/12/2009,,Boro of Barnsley Xmas Meet                        ,,,,,Sheffield                                       ,,,3,,00:36.87,,,
,2,,19/07/2009,,Rotherham Metro A/B Meet                          ,,,,,Ponds Forge                                ,,,3,,00:38.13,,,
,3,,19/09/2009,,Rotherham Metro A/B L3 Mt                         ,,,,,Sheffield                                       ,,,3,,00:39.51,,,
,4,,12/10/2008,,Yorkshire Winter Champs                           ,,,,,Sheffield                                       ,,,1,,00:40.36,,,
,5,,20/07/2008,,Rotherham Metro Meet                              ,,,,,Sheffield                                       ,,,3,,00:42.55,,,
,6,,20/09/2008,,Rotherham Metro A/B Meet                          ,,,,,Ponds Forge                                ,,,3,,00:43.01,,,
,7,,15/03/2008,,Yorkshire County Champs                           ,,,,,Leeds                                           ,,,2,,00:44.73,,,
,8,,14/10/2007,,Yorkshire Winter Age Grp                          ,,,,,Sheffield                                       ,,,1,,00:47.21,,,
,Male 100 Butterfly,,,,,,,,,,,,,,,,,
,1,,19/09/2009,,Rotherham Metro A/B L3 Mt                         ,,,,,Sheffield                                       ,,,3,,01:30.53,,,
,2,,19/07/2008,,Rotherham Metro Meet                              ,,,,,Sheffield                                       ,,,3,,01:36.97,,,
,3,,20/09/2008,,Rotherham Metro A/B Meet                          ,,,,,Ponds Forge                                ,,,3,,01:39.98,,,
,Male 200 Butterfly,,,,,,,,,,,,,,,,,
